x,y
327,205
417,205
507,205
597,205
687,205
777,205
867,205
957,205
327,283
417,283
507,283
597,283
687,283
777,283
867,283
957,283
327,361
417,361
507,361
597,361
687,361
777,361
867,361
957,361
327,439
417,439
507,439
597,439
687,439
777,439
867,439
957,439
60,515
150,515
240,515
330,515
420,515
510,515
600,515
690,515
780,515
870,515
960,515
60,593
150,593
240,593
330,593
420,593
510,593
600,593
690,593
780,593
870,593
960,593
60,671
150,671
240,671
330,671
420,671
510,671
600,671
790,671
870,671
